fee_algo_name,random_seed,lp_yield
FX_fee,1,19.21
FX_fee,11,19.62
FX_fee,0,19.9
FX_fee,4,19.61
FX_fee,8,19.38
FX_fee,5,19.47
FX_fee,2,19.26
FX_fee,3,19.6
FX_fee,7,19.96
FX_fee,6,19.15
FX_fee,12,19.44
FX_fee,10,19.53
FX_fee,9,19.43
FX_fee,13,19.41
FX_fee,20,19.27
FX_fee,15,19.41
FX_fee,17,19.38
FX_fee,19,19.49
FX_fee,25,19.14
FX_fee,16,19.11
FX_fee,21,19.42
FX_fee,18,19.36
FX_fee,14,19.2
FX_fee,22,19.31
FX_fee,24,19.54
FX_fee,23,20.11
FX_fee,26,19.47
FX_fee,27,19.37
FX_fee,30,19.07
FX_fee,29,19.05
FX_fee,31,19.25
FX_fee,37,19.68
FX_fee,32,19.42
FX_fee,35,19.02
FX_fee,28,19.4
FX_fee,34,19.17
FX_fee,33,19.5
FX_fee,38,19.05
FX_fee,36,19.25
FX_fee,39,19.09
FX_fee,41,19.26
FX_fee,45,19.76
FX_fee,44,19.49
FX_fee,40,19.5
FX_fee,46,19.11
FX_fee,43,18.98
FX_fee,48,19.39
FX_fee,42,19.47
FX_fee,47,19.66
FX_fee,50,19.22
FX_fee,51,19.29
FX_fee,49,19.64
FX_fee,52,19.92
FX_fee,53,19.64
FX_fee,57,19.28
FX_fee,55,19.33
FX_fee,54,19.58
FX_fee,59,19.23
FX_fee,56,19.06
FX_fee,58,19.59
FX_fee,61,19.81
FX_fee,64,19.32
FX_fee,63,19.39
FX_fee,60,19.72
FX_fee,62,19.66
FX_fee,66,19.08
FX_fee,65,19.37
FX_fee,68,19.77
FX_fee,67,19.13
FX_fee,69,19.59
FX_fee,71,19.18
FX_fee,70,19.02
FX_fee,73,19.5
FX_fee,72,19.3
FX_fee,75,18.81
FX_fee,74,19.33
FX_fee,76,19.22
FX_fee,77,19.2
FX_fee,78,19.13
FX_fee,79,19.47
FX_fee,80,19.83
FX_fee,82,19.28
FX_fee,83,19.27
FX_fee,81,19.4
FX_fee,84,19.69
FX_fee,85,19.34
FX_fee,88,19.12
FX_fee,87,19.69
FX_fee,86,19.53
FX_fee,89,19.67
FX_fee,90,19.34
FX_fee,91,19.33
FX_fee,92,19.33
FX_fee,95,19.85
FX_fee,93,19.6
FX_fee,97,19.23
FX_fee,96,19.46
FX_fee,98,19.55
FX_fee,94,19.19
FX_fee,99,18.97
FX_fee,102,19.68
FX_fee,100,19.12
FX_fee,101,19.01
FX_fee,103,19.45
FX_fee,104,19.55
FX_fee,105,19.43
FX_fee,108,19.8
FX_fee,110,19.68
FX_fee,107,19.07
FX_fee,109,19.08
FX_fee,106,19.37
FX_fee,112,19.61
FX_fee,111,19.24
FX_fee,113,19.13
FX_fee,114,19.32
FX_fee,116,19.14
FX_fee,115,19.79
FX_fee,117,19.32
FX_fee,118,19.14
FX_fee,119,19.3
FX_fee,122,19.7
FX_fee,124,19.76
FX_fee,120,19.65
FX_fee,121,19.43
FX_fee,123,19.2
FX_fee,125,19.21
FX_fee,126,19.5
FX_fee,127,19.34
FX_fee,128,19.57
FX_fee,129,19.54
FX_fee,130,19.62
FX_fee,132,19.19
FX_fee,131,19.5
FX_fee,134,19.33
FX_fee,136,19.75
FX_fee,133,19.59
FX_fee,135,19.19
FX_fee,138,19.38
FX_fee,137,19.26
FX_fee,139,19.45
FX_fee,140,19.46
FX_fee,141,19.27
FX_fee,142,19.5
FX_fee,145,19.61
FX_fee,143,19.24
FX_fee,144,19.79
FX_fee,146,19.74
FX_fee,151,19.46
FX_fee,149,19.17
FX_fee,148,19.59
FX_fee,147,19.6
FX_fee,152,19.83
FX_fee,150,19.71
FX_fee,153,19.46
FX_fee,154,19.75
FX_fee,155,19.55
FX_fee,156,19.62
FX_fee,157,19.93
FX_fee,158,19.04
FX_fee,160,19.66
FX_fee,159,18.99
FX_fee,163,19.56
FX_fee,162,19.23
FX_fee,161,19.77
FX_fee,165,19.45
FX_fee,164,19.54
FX_fee,166,19.21
FX_fee,168,19.39
FX_fee,167,19.69
FX_fee,169,19.89
FX_fee,170,19.49
FX_fee,173,19.01
FX_fee,172,19.77
FX_fee,178,19.59
FX_fee,171,19.27
FX_fee,174,19.22
FX_fee,176,19.34
FX_fee,177,19.76
FX_fee,175,19.89
FX_fee,179,19.29
FX_fee,181,19.86
FX_fee,180,19.53
FX_fee,182,18.72
FX_fee,184,19.32
FX_fee,187,19.57
FX_fee,188,19.3
FX_fee,183,18.87
FX_fee,190,19.44
FX_fee,185,19.41
FX_fee,186,19.45
FX_fee,189,19.37
FX_fee,191,19.79
FX_fee,192,20.33
FX_fee,193,19.31
FX_fee,194,19.63
FX_fee,195,19.35
FX_fee,198,20.04
FX_fee,196,19.6
FX_fee,197,19.28
FX_fee,199,19.43
FX_fee,201,19.48
FX_fee,202,19.33
FX_fee,200,19.56
FX_fee,204,19.34
FX_fee,203,19.64
FX_fee,205,19.09
FX_fee,207,19.65
FX_fee,206,19.44
FX_fee,208,19.57
FX_fee,209,19.44
FX_fee,212,19.45
FX_fee,210,19.4
FX_fee,211,19.62
FX_fee,217,18.98
FX_fee,213,19.41
FX_fee,214,19.62
FX_fee,216,19.38
FX_fee,215,19.66
FX_fee,218,19.42
FX_fee,219,19.46
FX_fee,220,19.46
FX_fee,221,19.18
FX_fee,222,19.62
FX_fee,223,19.68
FX_fee,224,19.35
FX_fee,225,19.17
FX_fee,226,19.66
FX_fee,227,19.15
FX_fee,228,19.52
FX_fee,229,19.63
FX_fee,230,19.13
FX_fee,231,19.4
FX_fee,232,19.54
FX_fee,233,19.2
FX_fee,234,19.41
FX_fee,239,19.53
FX_fee,238,19.96
FX_fee,235,19.28
FX_fee,237,19.78
FX_fee,236,19.35
FX_fee,240,19.04
FX_fee,241,19.72
FX_fee,242,19.44
FX_fee,243,19.52
FX_fee,244,19.48
FX_fee,245,19.6
FX_fee,246,19.36
FX_fee,247,19.93
FX_fee,250,19.18
FX_fee,249,19.17
FX_fee,248,19.05
FX_fee,252,20.01
FX_fee,251,19.03
FX_fee,253,19.6
FX_fee,254,18.89
FX_fee,255,19.77
FX_fee,256,19.54
FX_fee,257,19.49
FX_fee,259,19.33
FX_fee,258,19.34
FX_fee,260,19.05
FX_fee,264,19.13
FX_fee,263,19.56
FX_fee,261,19.33
FX_fee,262,19.19
FX_fee,266,19.32
FX_fee,265,18.99
FX_fee,268,19.52
FX_fee,267,19.74
FX_fee,269,19.5
FX_fee,270,19.51
FX_fee,271,19.31
FX_fee,272,19.36
FX_fee,273,19.14
FX_fee,275,19.62
FX_fee,274,19.37
FX_fee,276,19.53
FX_fee,278,19.59
FX_fee,279,19.2
FX_fee,277,19.76
FX_fee,280,19.24
FX_fee,281,19.02
FX_fee,282,19.25
FX_fee,283,19.46
FX_fee,285,19.39
FX_fee,284,18.9
FX_fee,286,19.47
FX_fee,288,18.88
FX_fee,289,19.12
FX_fee,287,19.39
FX_fee,290,19.56
FX_fee,291,19.54
FX_fee,292,19.38
FX_fee,293,19.21
FX_fee,294,19.44
FX_fee,295,19.9
FX_fee,296,19.64
FX_fee,297,19.19
FX_fee,298,19.37
FX_fee,299,19.43
FX_fee,300,19.95
FX_fee,301,19.54
FX_fee,303,19.13
FX_fee,302,19.53
FX_fee,304,19.14
FX_fee,305,19.62
FX_fee,308,18.88
FX_fee,306,19.22
FX_fee,307,19.22
FX_fee,309,19.13
FX_fee,310,19.16
FX_fee,312,19.52
FX_fee,311,19.44
FX_fee,313,19.41
FX_fee,314,19.53
FX_fee,315,19.55
FX_fee,316,19.55
FX_fee,317,19.56
FX_fee,318,20.09
FX_fee,320,19.6
FX_fee,319,19.1
FX_fee,321,19.22
FX_fee,322,19.21
FX_fee,324,19.19
FX_fee,323,19.33
FX_fee,325,19.2
FX_fee,327,19.65
FX_fee,330,18.92
FX_fee,326,19.81
FX_fee,329,19.98
FX_fee,328,19.44
FX_fee,331,19.48
FX_fee,333,19.68
FX_fee,332,19.41
FX_fee,334,18.82
FX_fee,335,19.45
FX_fee,337,19.6
FX_fee,336,19.12
FX_fee,338,19.26
FX_fee,341,20.02
FX_fee,339,19.99
FX_fee,340,19.68
FX_fee,342,19.19
FX_fee,343,19.4
FX_fee,345,19.5
FX_fee,344,19.45
FX_fee,347,19.3
FX_fee,346,19.51
FX_fee,348,19.21
FX_fee,350,18.91
FX_fee,349,18.98
FX_fee,351,19.7
FX_fee,352,19.62
FX_fee,354,19.03
FX_fee,356,19.32
FX_fee,353,19.44
FX_fee,355,19.17
FX_fee,360,19.46
FX_fee,359,19.48
FX_fee,358,19.29
FX_fee,357,19.05
FX_fee,361,19.46
FX_fee,362,19.38
FX_fee,363,19.4
FX_fee,364,19.37
FX_fee,365,19.75
FX_fee,367,19.47
FX_fee,366,19.32
FX_fee,369,19.95
FX_fee,368,19.34
FX_fee,370,19.61
FX_fee,372,19.54
FX_fee,373,19.11
FX_fee,371,19.49
FX_fee,374,19.42
FX_fee,375,19.53
FX_fee,376,19.72
FX_fee,377,19.31
FX_fee,378,19.15
FX_fee,379,19.22
FX_fee,380,19.33
FX_fee,381,19.32
FX_fee,383,19.39
FX_fee,384,19.65
FX_fee,382,18.74
FX_fee,385,19.7
FX_fee,386,19.18
FX_fee,387,19.62
FX_fee,388,19.6
FX_fee,389,19.23
FX_fee,390,19.1
FX_fee,392,19.34
FX_fee,391,19.52
FX_fee,393,19.71
FX_fee,394,19.56
FX_fee,395,19.34
FX_fee,397,19.54
FX_fee,396,19.7
FX_fee,399,19.11
FX_fee,398,19.27
FX_fee,400,19.79
FX_fee,401,19.37
FX_fee,402,19.4
FX_fee,403,19.84
FX_fee,406,19.63
FX_fee,405,19.04
FX_fee,404,19.7
FX_fee,407,19.41
FX_fee,409,19.64
FX_fee,410,19.6
FX_fee,408,19.32
FX_fee,411,19.54
FX_fee,412,19.55
FX_fee,414,19.01
FX_fee,413,19.48
FX_fee,418,19.62
FX_fee,416,19.12
FX_fee,415,19.0
FX_fee,419,19.59
FX_fee,417,19.58
FX_fee,420,19.59
FX_fee,423,19.27
FX_fee,422,19.55
FX_fee,421,19.7
FX_fee,424,19.51
FX_fee,426,19.21
FX_fee,425,19.21
FX_fee,427,19.44
FX_fee,428,19.46
FX_fee,429,19.16
FX_fee,431,19.07
FX_fee,432,19.17
FX_fee,430,18.93
FX_fee,434,19.34
FX_fee,433,19.63
FX_fee,436,19.21
FX_fee,435,18.67
FX_fee,438,18.95
FX_fee,437,19.46
FX_fee,439,19.76
FX_fee,440,19.16
FX_fee,441,19.32
FX_fee,442,19.32
FX_fee,444,19.79
FX_fee,443,19.31
FX_fee,445,19.24
FX_fee,446,19.84
FX_fee,447,19.67
FX_fee,449,19.49
FX_fee,448,19.44
FX_fee,450,19.6
FX_fee,451,19.56
FX_fee,453,19.15
FX_fee,452,19.42
FX_fee,454,19.35
FX_fee,456,19.47
FX_fee,457,19.26
FX_fee,455,20.04
FX_fee,458,19.4
FX_fee,459,19.28
FX_fee,460,19.61
FX_fee,462,19.33
FX_fee,461,19.32
FX_fee,463,19.16
FX_fee,464,19.1
FX_fee,465,19.44
FX_fee,466,19.24
FX_fee,467,19.07
FX_fee,469,19.4
FX_fee,468,19.71
FX_fee,470,19.54
FX_fee,471,19.68
FX_fee,472,19.22
FX_fee,473,19.36
FX_fee,474,19.61
FX_fee,475,19.76
FX_fee,476,19.11
FX_fee,477,19.56
FX_fee,479,19.44
FX_fee,478,19.75
FX_fee,480,19.66
FX_fee,481,19.57
FX_fee,482,19.29
FX_fee,483,19.76
FX_fee,485,19.65
FX_fee,484,19.62
FX_fee,486,19.29
FX_fee,487,19.47
FX_fee,488,19.12
FX_fee,489,19.34
FX_fee,490,19.28
FX_fee,492,19.04
FX_fee,491,19.37
FX_fee,493,19.49
FX_fee,494,19.39
FX_fee,495,19.12
FX_fee,497,19.49
FX_fee,496,19.45
FX_fee,498,18.98
FX_fee,499,19.75
FX_fee,500,19.76
FX_fee,501,19.12
FX_fee,502,19.68
FX_fee,503,19.64
FX_fee,504,19.16
FX_fee,505,19.12
FX_fee,506,18.75
FX_fee,508,19.69
FX_fee,507,19.32
FX_fee,509,19.03
FX_fee,510,18.98
FX_fee,511,19.89
FX_fee,512,19.03
FX_fee,513,19.81
FX_fee,514,19.52
FX_fee,515,19.61
FX_fee,516,19.14
FX_fee,518,19.66
FX_fee,517,19.43
FX_fee,519,19.14
FX_fee,520,19.65
FX_fee,521,19.54
FX_fee,522,19.36
FX_fee,523,19.53
FX_fee,524,19.7
FX_fee,525,19.33
FX_fee,526,19.58
FX_fee,527,19.81
FX_fee,528,19.49
FX_fee,531,19.54
FX_fee,529,19.31
FX_fee,530,19.52
FX_fee,532,19.21
FX_fee,533,19.22
FX_fee,534,19.73
FX_fee,535,19.92
FX_fee,536,19.12
FX_fee,537,18.93
FX_fee,539,19.62
FX_fee,538,19.44
FX_fee,540,19.49
FX_fee,541,19.62
FX_fee,542,19.71
FX_fee,544,19.57
FX_fee,543,19.25
FX_fee,545,19.31
FX_fee,546,19.02
FX_fee,548,19.52
FX_fee,547,19.37
FX_fee,549,19.55
FX_fee,551,19.34
FX_fee,552,19.72
FX_fee,550,18.89
FX_fee,553,19.39
FX_fee,554,19.13
FX_fee,556,19.79
FX_fee,557,18.82
FX_fee,558,19.79
FX_fee,555,19.71
FX_fee,559,19.44
FX_fee,560,19.12
FX_fee,563,19.61
FX_fee,562,19.31
FX_fee,561,19.66
FX_fee,564,19.27
FX_fee,565,19.4
FX_fee,566,19.37
FX_fee,567,19.44
FX_fee,570,19.16
FX_fee,568,19.57
FX_fee,569,19.27
FX_fee,571,19.62
FX_fee,572,19.85
FX_fee,574,19.5
FX_fee,575,19.57
FX_fee,573,19.25
FX_fee,577,19.65
FX_fee,576,19.45
FX_fee,578,19.52
FX_fee,579,19.66
FX_fee,580,19.74
FX_fee,581,19.61
FX_fee,582,19.31
FX_fee,583,19.91
FX_fee,584,19.36
FX_fee,585,18.96
FX_fee,587,19.79
FX_fee,586,18.96
FX_fee,588,18.81
FX_fee,589,19.51
FX_fee,590,19.65
FX_fee,591,18.76
FX_fee,592,19.78
FX_fee,593,19.45
FX_fee,594,19.64
FX_fee,595,19.51
FX_fee,596,19.25
FX_fee,597,19.55
FX_fee,598,19.57
FX_fee,600,19.87
FX_fee,599,19.69
FX_fee,601,19.76
FX_fee,603,19.71
FX_fee,602,19.9
FX_fee,604,19.15
FX_fee,605,19.75
FX_fee,606,19.49
FX_fee,607,19.64
FX_fee,608,19.11
FX_fee,609,19.98
FX_fee,610,18.97
FX_fee,611,19.31
FX_fee,613,19.63
FX_fee,614,19.34
FX_fee,612,19.78
FX_fee,615,19.35
FX_fee,616,19.8
FX_fee,617,19.61
FX_fee,618,19.57
FX_fee,619,18.72
FX_fee,620,19.19
FX_fee,621,18.99
FX_fee,622,19.39
FX_fee,623,19.51
FX_fee,624,19.69
FX_fee,625,19.62
FX_fee,627,19.29
FX_fee,626,19.77
FX_fee,628,19.66
FX_fee,629,19.26
FX_fee,630,19.35
FX_fee,631,19.35
FX_fee,632,19.39
FX_fee,634,18.9
FX_fee,633,18.86
FX_fee,636,19.51
FX_fee,635,19.4
FX_fee,638,19.15
FX_fee,637,19.19
FX_fee,640,20.15
FX_fee,639,19.03
FX_fee,641,19.14
FX_fee,642,19.53
FX_fee,644,19.08
FX_fee,645,19.58
FX_fee,643,19.35
FX_fee,647,19.28
FX_fee,646,19.31
FX_fee,648,19.62
FX_fee,649,19.73
FX_fee,651,19.49
FX_fee,650,19.42
FX_fee,652,19.37
FX_fee,653,19.43
FX_fee,654,19.59
FX_fee,655,19.73
FX_fee,656,19.57
FX_fee,657,19.46
FX_fee,659,19.4
FX_fee,658,19.23
FX_fee,660,19.31
FX_fee,662,19.27
FX_fee,661,19.82
FX_fee,663,19.57
FX_fee,664,19.5
FX_fee,665,18.62
FX_fee,666,20.01
FX_fee,667,19.2
FX_fee,669,19.18
FX_fee,668,19.44
FX_fee,672,18.9
FX_fee,671,19.44
FX_fee,670,19.44
FX_fee,673,19.13
FX_fee,676,19.75
FX_fee,674,19.11
FX_fee,675,19.6
FX_fee,677,19.43
FX_fee,678,19.77
FX_fee,679,19.3
FX_fee,680,19.58
FX_fee,681,19.44
FX_fee,682,19.54
FX_fee,683,20.01
FX_fee,685,19.45
FX_fee,684,19.51
FX_fee,686,19.58
FX_fee,687,19.7
FX_fee,690,19.39
FX_fee,689,19.4
FX_fee,692,18.78
FX_fee,688,19.57
FX_fee,691,19.38
FX_fee,693,19.22
FX_fee,694,18.96
FX_fee,695,19.29
FX_fee,697,19.67
FX_fee,698,19.5
FX_fee,696,18.95
