fee_algo_name,random_seed,lp_yield
FX_fee,0,26.72
FX_fee,1,26.51
FX_fee,2,26.67
FX_fee,3,26.55
FX_fee,4,26.9
FX_fee,5,26.63
FX_fee,6,26.67
FX_fee,7,26.54
FX_fee,9,26.59
FX_fee,8,26.65
FX_fee,10,26.88
FX_fee,11,26.64
FX_fee,12,26.83
FX_fee,13,26.7
FX_fee,14,26.48
FX_fee,15,26.52
FX_fee,17,26.89
FX_fee,16,26.72
FX_fee,18,26.66
FX_fee,19,26.57
FX_fee,20,26.49
FX_fee,21,26.76
FX_fee,22,26.72
FX_fee,23,26.7
FX_fee,24,26.31
FX_fee,25,26.47
FX_fee,27,26.58
FX_fee,26,26.69
FX_fee,28,26.63
FX_fee,29,26.67
FX_fee,30,26.58
FX_fee,31,26.51
FX_fee,32,26.56
FX_fee,33,26.82
FX_fee,34,26.66
FX_fee,35,26.63
FX_fee,36,26.75
FX_fee,37,26.74
FX_fee,38,26.61
FX_fee,39,26.66
FX_fee,40,26.71
FX_fee,41,26.5
FX_fee,42,26.56
FX_fee,43,26.46
FX_fee,44,26.65
FX_fee,45,26.73
FX_fee,46,26.55
FX_fee,47,26.7
FX_fee,48,26.7
FX_fee,49,26.7
FX_fee,50,26.56
FX_fee,51,26.62
FX_fee,52,26.65
FX_fee,53,26.61
FX_fee,54,26.62
FX_fee,55,26.63
FX_fee,56,26.5
FX_fee,57,26.58
FX_fee,59,26.62
FX_fee,58,26.74
FX_fee,60,26.81
FX_fee,61,26.89
FX_fee,62,26.44
FX_fee,63,26.7
FX_fee,64,26.66
FX_fee,65,26.75
FX_fee,66,26.69
FX_fee,67,26.6
FX_fee,68,26.64
FX_fee,69,26.66
FX_fee,70,26.54
FX_fee,71,26.55
FX_fee,72,26.55
FX_fee,73,26.61
FX_fee,74,26.7
FX_fee,75,26.62
FX_fee,76,26.63
FX_fee,77,26.57
FX_fee,78,26.61
FX_fee,79,26.43
FX_fee,80,26.54
FX_fee,81,26.79
FX_fee,82,26.45
FX_fee,83,26.6
FX_fee,84,26.75
FX_fee,85,26.73
FX_fee,86,26.73
FX_fee,87,26.64
FX_fee,88,26.65
FX_fee,89,26.73
FX_fee,90,26.6
FX_fee,91,26.53
FX_fee,92,26.74
FX_fee,93,26.64
FX_fee,94,26.71
FX_fee,95,26.87
FX_fee,96,26.62
FX_fee,98,26.63
FX_fee,97,26.71
FX_fee,99,26.45
FX_fee,100,26.46
FX_fee,101,26.52
FX_fee,102,26.72
FX_fee,103,26.65
FX_fee,104,26.49
FX_fee,105,26.81
FX_fee,106,26.7
FX_fee,107,26.6
FX_fee,108,26.76
FX_fee,109,26.43
FX_fee,110,26.7
FX_fee,111,26.65
FX_fee,112,26.57
FX_fee,113,26.57
FX_fee,114,26.73
FX_fee,115,26.92
FX_fee,116,26.61
FX_fee,117,26.65
FX_fee,118,26.65
FX_fee,119,26.81
FX_fee,120,26.74
FX_fee,121,26.78
FX_fee,122,26.87
FX_fee,123,26.51
FX_fee,124,26.88
FX_fee,125,26.44
FX_fee,126,26.65
FX_fee,127,26.5
FX_fee,128,26.73
FX_fee,129,26.65
FX_fee,130,26.59
FX_fee,131,26.57
FX_fee,132,26.77
FX_fee,133,26.75
FX_fee,134,26.72
FX_fee,135,26.7
FX_fee,136,26.77
FX_fee,137,26.61
FX_fee,138,26.78
FX_fee,139,26.65
FX_fee,140,26.75
FX_fee,141,26.48
FX_fee,142,26.76
FX_fee,143,26.54
FX_fee,144,26.77
FX_fee,145,26.72
FX_fee,146,26.68
FX_fee,147,26.68
FX_fee,148,26.73
FX_fee,149,26.7
FX_fee,150,26.55
FX_fee,151,26.52
FX_fee,152,26.43
FX_fee,153,26.61
FX_fee,154,26.79
FX_fee,155,26.7
FX_fee,156,26.68
FX_fee,157,26.88
FX_fee,158,26.49
FX_fee,159,26.41
FX_fee,160,26.73
FX_fee,161,26.73
FX_fee,162,26.61
FX_fee,163,26.74
FX_fee,164,26.75
FX_fee,165,26.55
FX_fee,166,26.71
FX_fee,167,26.64
FX_fee,168,26.67
FX_fee,169,26.89
FX_fee,170,26.49
FX_fee,171,26.56
FX_fee,172,26.61
FX_fee,173,26.53
FX_fee,174,26.61
FX_fee,175,26.72
FX_fee,176,26.46
FX_fee,177,26.9
FX_fee,178,26.65
FX_fee,179,26.52
FX_fee,180,26.66
FX_fee,181,26.82
FX_fee,182,26.6
FX_fee,183,26.37
FX_fee,184,26.64
FX_fee,185,26.58
FX_fee,186,26.55
FX_fee,187,26.56
FX_fee,188,26.83
FX_fee,189,26.5
FX_fee,190,26.49
FX_fee,191,26.62
FX_fee,192,26.69
FX_fee,193,26.72
FX_fee,194,26.73
FX_fee,195,26.63
FX_fee,196,26.52
FX_fee,197,26.46
FX_fee,199,26.63
FX_fee,198,26.68
FX_fee,200,26.64
FX_fee,201,26.48
FX_fee,202,26.71
FX_fee,203,26.87
FX_fee,204,26.47
FX_fee,205,26.64
FX_fee,206,26.72
FX_fee,207,26.66
FX_fee,208,26.75
FX_fee,209,26.42
FX_fee,210,26.73
FX_fee,211,26.64
FX_fee,212,26.57
FX_fee,213,26.7
FX_fee,214,26.53
FX_fee,215,26.67
FX_fee,216,26.44
